GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
s0,edu.brown.cs.student.main,Server,77,0,0,0,21,0,4,0,4,0
s0,edu.brown.cs.student.main,FactoryFailureException,0,10,0,0,0,3,0,1,0,1
s0,edu.brown.cs.student.main.CSVData,CSVData,20,8,0,0,6,2,4,1,4,1
s0,edu.brown.cs.student.main.CSVData,BroadbandData,33,0,0,0,1,0,6,0,6,0
s0,edu.brown.cs.student.main.CSVData,MockedBroadband,57,0,0,0,9,0,4,0,4,0
s0,edu.brown.cs.student.main.JSONAdaptors,Serializer,31,0,0,0,6,0,2,0,2,0
s0,edu.brown.cs.student.main.JSONAdaptors,Deserializer,54,0,0,0,11,0,2,0,2,0
s0,edu.brown.cs.student.main.DeveloperObjectClasses,PersonCreator,0,50,0,4,0,6,0,4,0,2
s0,edu.brown.cs.student.main.DeveloperObjectClasses,Person,0,21,0,0,0,8,0,4,0,4
s0,edu.brown.cs.student.main.DeveloperObjectClasses,ArrayListCreator,0,8,0,0,0,2,0,2,0,2
s0,edu.brown.cs.student.main.UtilityClasses,Parser,0,44,0,2,0,13,0,4,0,3
s0,edu.brown.cs.student.main.UtilityClasses,Searcher,226,0,30,0,53,0,21,0,6,0
s0,edu.brown.cs.student.server,DefaultHandler,0,26,0,0,0,5,0,2,0,2
s0,edu.brown.cs.student.main.Handlers,BroadbandHandler,93,6,4,0,22,3,4,1,2,1
s0,edu.brown.cs.student.main.Handlers,LoadHandler,185,6,20,0,41,3,13,1,3,1
s0,edu.brown.cs.student.main.Handlers,ViewHandler,44,6,4,0,10,3,3,1,1,1
s0,edu.brown.cs.student.main.Handlers,SearchHandler,152,6,18,0,39,3,10,1,1,1
